Tempo (s)	Sensor1	Sensor2	Sensor3
3856.0	92.25	96.75	99.75
3866.0	92.25	96.5	100.0
3876.0	92.0	96.75	99.75
3886.0	92.5	97.25	100.0
3896.0	92.75	96.5	99.75
3906.0	92.0	97.0	100.25
3916.0	92.75	97.25	100.0
3926.0	92.5	97.0	99.5
3936.0	92.75	96.75	99.75
3946.0	93.0	97.0	100.5
3956.0	93.25	97.25	100.25
3966.0	93.5	97.75	100.25
3976.0	93.75	97.75	100.25
3986.0	94.0	97.25	100.0
3996.0	94.0	97.75	100.5
4007.0	94.25	98.25	100.5
4017.0	94.75	98.75	100.25
4027.0	95.0	98.75	101.0
4037.0	95.0	98.5	100.75
4047.0	95.25	98.5	101.25
4057.0	95.5	99.25	101.0
4067.0	95.5	99.0	100.75
4077.0	95.5	98.5	101.0
4087.0	95.75	99.25	101.5
4097.0	95.5	99.0	101.5
4107.0	96.0	98.75	101.5
4117.0	95.25	98.75	101.75
4127.0	95.75	99.75	101.75
4137.0	95.0	99.0	101.75
4147.0	95.75	99.25	101.75
4157.0	95.5	99.5	102.0
4167.0	95.5	99.25	101.25
4177.0	95.25	98.75	102.0
4187.0	95.5	99.0	101.75
4197.0	95.0	99.25	102.0
4207.0	94.5	99.25	102.0
4217.0	95.0	99.0	101.5
4227.0	95.25	99.25	102.25
4237.0	95.0	99.0	101.75
4247.0	95.25	98.75	102.25
4258.0	95.25	98.5	101.75
4268.0	95.25	98.75	102.25
4278.0	94.75	98.5	102.25
4288.0	94.75	98.0	102.0
4298.0	95.0	98.5	102.5
4308.0	94.75	98.75	102.25
4318.0	94.5	99.0	102.25
4328.0	94.75	98.5	102.0
4338.0	95.0	99.0	102.0
4348.0	94.75	99.0	102.5
4358.0	94.5	98.75	101.75
4368.0	94.25	98.5	102.0
4378.0	94.5	98.0	102.0
4388.0	94.5	98.75	102.0
4398.0	95.0	98.75	101.75
4408.0	95.0	97.75	101.5
4418.0	94.5	98.25	102.25
4428.0	94.75	98.75	101.75
4438.0	95.25	99.25	101.5
4448.0	95.25	99.0	102.0
4458.0	94.75	99.25	101.75
4468.0	95.5	99.25	102.0
4478.0	95.75	99.5	102.0
4488.0	96.5	99.5	102.0
4498.0	96.75	100.0	102.0
4508.0	97.25	100.0	102.5
4519.0	97.5	101.25	102.75
4529.0	97.5	100.75	102.75
4539.0	98.25	101.5	102.5
4549.0	98.5	101.5	102.75
4559.0	98.75	102.0	103.0
4569.0	99.0	102.5	103.25
4579.0	99.0	102.25	102.5
4589.0	99.75	102.25	103.75
4599.0	100.0	102.0	103.0
4609.0	99.5	102.75	103.75
4619.0	99.75	102.25	104.0
4629.0	100.25	102.75	103.5
4639.0	100.25	103.0	104.0
4649.0	100.25	102.5	104.0
4659.0	100.75	103.0	104.25
4669.0	100.0	103.0	104.0
4679.0	100.5	102.25	104.25
4689.0	100.25	102.5	104.25
4699.0	100.5	102.25	104.5
4709.0	100.0	102.75	104.25
4720.0	100.5	102.25	104.75
4730.0	101.0	102.75	105.0
4740.0	100.5	102.25	105.0
4750.0	100.75	102.75	104.75
4760.0	100.25	102.5	104.75
4770.0	100.5	102.0	104.5
4780.0	100.5	102.25	105.0
4790.0	100.5	102.25	105.0
4800.0	99.75	102.75	105.0
4810.0	100.25	102.75	105.0
4820.0	100.0	102.5	105.0
4830.0	99.75	102.0	105.5
4840.0	99.75	102.25	105.5
4850.0	99.5	102.5	105.5
4860.0	99.75	102.5	105.25
4870.0	99.0	102.5	104.75
4880.0	99.0	102.25	105.25
4890.0	99.0	102.0	105.25
4900.0	99.0	102.25	105.5
4910.0	99.0	102.25	105.25
4920.0	99.0	102.25	105.25
4930.0	99.25	102.25	105.0
4940.0	98.5	102.25	105.5
4950.0	98.75	102.25	105.25
4961.0	99.0	102.0	105.0
4971.0	98.5	102.0	105.25
4981.0	98.75	101.5	105.25
4991.0	98.75	102.0	104.75
5001.0	98.75	101.75	104.75
5011.0	98.25	101.75	105.0
5021.0	99.0	102.25	105.25
5031.0	98.75	102.0	105.5
5041.0	98.5	102.0	105.25
5051.0	99.0	102.25	104.75
5061.0	99.0	102.25	105.25
5071.0	99.5	102.25	105.25
5081.0	99.0	102.75	105.0
5091.0	100.0	102.75	105.75
5101.0	100.5	102.5	105.25
5111.0	100.25	103.0	105.5
5121.0	101.0	103.25	105.0
5131.0	101.25	103.5	105.5
5141.0	101.5	103.75	105.5
5151.0	101.5	104.5	106.0
5161.0	102.25	105.0	105.5
5171.0	102.5	105.0	105.75
5181.0	102.0	105.0	106.0
5191.0	102.25	105.25	106.0
5201.0	102.5	105.0	106.0
5211.0	102.75	105.75	105.75
5221.0	103.0	105.5	105.5
5231.0	102.75	105.75	106.5
5241.0	103.25	106.0	106.25
5252.0	103.75	105.5	106.75
5262.0	104.0	105.5	106.75
5272.0	104.0	105.75	107.25
5282.0	104.0	105.75	107.5
5292.0	104.0	105.75	107.0
5302.0	104.25	105.75	107.0
5312.0	104.0	105.75	107.5
5322.0	103.75	106.25	107.5
5332.0	104.75	106.0	107.5
5342.0	104.5	105.75	108.0
5352.0	104.25	105.5	107.75
5362.0	104.25	105.5	107.75
5372.0	104.25	106.0	107.75
5382.0	104.0	105.5	107.5
5392.0	104.5	106.0	108.25
5402.0	104.0	105.0	108.0
5412.0	104.0	105.25	107.75
5422.0	104.0	105.75	108.5
5432.0	104.0	105.5	108.5
5442.0	104.0	105.25	108.5
5452.0	104.0	105.25	108.5
5462.0	103.5	105.0	108.5
5472.0	103.5	105.25	108.5
5482.0	102.75	105.25	108.5
5493.0	103.0	104.75	108.25
5503.0	102.5	105.0	108.25
5513.0	103.0	104.75	108.5
5523.0	102.25	104.75	108.5
5533.0	102.5	105.0	108.5
5543.0	102.0	105.0	108.0
5553.0	102.0	104.5	108.25
5563.0	102.0	105.25	108.25
5573.0	102.0	104.5	108.75
5583.0	102.0	104.5	108.5
5593.0	101.75	104.25	108.25
5603.0	101.5	104.25	108.5
5613.0	101.75	104.5	108.5
5623.0	101.75	104.0	108.0
5633.0	102.0	104.25	108.0
5643.0	102.25	104.75	108.25
5653.0	102.0	104.75	108.25
5663.0	102.5	104.75	108.25
5673.0	102.25	105.0	108.0
5684.0	103.0	105.0	107.5
5694.0	103.0	105.0	108.25
5704.0	103.25	105.75	108.25
5714.0	103.25	106.0	108.25
5724.0	104.0	106.25	108.75
5734.0	104.0	106.5	108.25
5744.0	104.5	106.5	108.75
5754.0	104.75	106.75	108.5
5764.0	104.5	107.5	108.25
5774.0	104.75	107.75	109.0
5784.0	104.75	108.0	108.25
5794.0	105.5	108.0	108.5
5804.0	103.75	107.25	102.0
5814.0	101.75	107.75	100.5
5824.0	103.0	108.0	100.25
5834.0	103.75	108.25	103.25
5844.0	103.75	108.25	103.0
5854.0	103.5	108.0	103.0
5864.0	104.25	108.0	102.75
5874.0	106.5	108.25	109.5
5884.0	105.5	108.25	102.75
5894.0	106.0	108.5	104.0
5904.0	106.5	108.25	110.0
