Tempo (s)	Sensor1	Sensor2	Sensor3
1902.0	73.5	0.0	0.0
1907.0	73.75	0.0	0.0
1912.0	73.5	0.0	0.0
1917.0	73.5	0.0	0.0
1922.0	73.25	0.0	0.0
1927.0	73.0	0.0	0.0
1932.0	73.25	0.0	0.0
1937.0	73.0	0.0	0.0
1942.0	73.0	0.0	0.0
1947.0	73.25	0.0	0.0
1952.0	73.0	0.0	0.0
1957.0	73.0	0.0	0.0
1962.0	72.25	0.0	0.0
1967.0	72.5	0.0	0.0
1972.0	73.0	0.0	0.0
1977.0	72.75	0.0	0.0
1982.0	72.75	0.0	0.0
1987.0	72.25	0.0	0.0
1992.0	72.25	0.0	0.0
1998.0	72.5	0.0	0.0
2003.0	72.25	0.0	0.0
2008.0	71.75	0.0	0.0
2013.0	72.25	0.0	0.0
2018.0	72.25	0.0	0.0
2023.0	71.75	0.0	0.0
2028.0	72.25	0.0	0.0
2033.0	72.0	0.0	0.0
2038.0	71.25	0.0	0.0
2043.0	71.5	0.0	0.0
2048.0	71.75	0.0	0.0
2053.0	71.75	0.0	0.0
2058.0	72.0	0.0	0.0
2063.0	71.5	0.0	0.0
2068.0	71.5	0.0	0.0
2073.0	71.75	0.0	0.0
2078.0	71.0	0.0	0.0
2083.0	71.0	0.0	0.0
2088.0	71.5	0.0	0.0
2093.0	71.0	0.0	0.0
2098.0	71.25	0.0	0.0
2103.0	71.25	0.0	0.0
2108.0	71.25	0.0	0.0
2114.0	71.25	0.0	0.0
2119.0	71.0	0.0	0.0
2124.0	71.0	0.0	0.0
2129.0	71.25	0.0	0.0
2134.0	71.0	0.0	0.0
2139.0	70.5	0.0	0.0
2144.0	70.75	0.0	0.0
2149.0	70.0	0.0	0.0
2154.0	70.25	0.0	0.0
2159.0	70.75	0.0	0.0
2164.0	69.75	0.0	0.0
2169.0	70.5	0.0	0.0
2174.0	70.75	0.0	0.0
2179.0	70.5	0.0	0.0
2184.0	70.25	0.0	0.0
2189.0	70.0	0.0	0.0
2194.0	70.25	0.0	0.0
2199.0	70.25	0.0	0.0
2205.0	70.0	0.0	0.0
2210.0	69.75	0.0	0.0
2215.0	70.0	0.0	0.0
2220.0	69.25	0.0	0.0
2225.0	69.75	0.0	0.0
2230.0	70.0	0.0	0.0
2235.0	69.75	0.0	0.0
2240.0	69.5	0.0	0.0
2245.0	69.5	0.0	0.0
2250.0	69.25	0.0	0.0
2255.0	69.5	0.0	0.0
2260.0	69.25	0.0	0.0
2265.0	69.25	0.0	0.0
2270.0	68.75	0.0	0.0
2275.0	69.0	0.0	0.0
2280.0	69.0	0.0	0.0
2285.0	69.25	0.0	0.0
2290.0	68.75	0.0	0.0
2295.0	69.0	0.0	0.0
2300.0	68.5	0.0	0.0
2305.0	68.5	0.0	0.0
2310.0	68.25	0.0	0.0
2315.0	68.75	0.0	0.0
2320.0	69.0	0.0	0.0
2325.0	68.5	0.0	0.0
2331.0	68.5	0.0	0.0
2336.0	68.5	0.0	0.0
2341.0	68.5	0.0	0.0
2346.0	68.5	0.0	0.0
2351.0	68.25	0.0	0.0
2356.0	68.25	0.0	0.0
2361.0	67.75	0.0	0.0
2366.0	68.5	0.0	0.0
2371.0	68.25	0.0	0.0
2376.0	67.75	0.0	0.0
2381.0	68.0	0.0	0.0
2386.0	67.75	0.0	0.0
2391.0	67.5	0.0	0.0
2396.0	68.0	0.0	0.0
2401.0	67.75	0.0	0.0
2406.0	67.75	0.0	0.0
2411.0	67.75	0.0	0.0
2416.0	67.5	0.0	0.0
2421.0	67.75	0.0	0.0
2426.0	67.5	0.0	0.0
2431.0	67.5	0.0	0.0
2437.0	67.25	0.0	0.0
2442.0	67.25	0.0	0.0
2447.0	67.5	0.0	0.0
2452.0	66.75	0.0	0.0
2457.0	66.75	0.0	0.0
2462.0	67.25	0.0	0.0
2467.0	67.0	0.0	0.0
2472.0	67.0	0.0	0.0
2477.0	66.5	0.0	0.0
2482.0	67.0	0.0	0.0
2487.0	66.75	0.0	0.0
2492.0	66.25	0.0	0.0
2497.0	66.75	0.0	0.0
2502.0	66.75	0.0	0.0
2507.0	66.75	0.0	0.0
2512.0	66.5	0.0	0.0
2517.0	66.5	0.0	0.0
2522.0	66.5	0.0	0.0
2527.0	66.5	0.0	0.0
2532.0	66.5	0.0	0.0
2537.0	66.0	0.0	0.0
2542.0	65.5	0.0	0.0
2547.0	66.25	0.0	0.0
2552.0	66.25	0.0	0.0
2557.0	66.25	0.0	0.0
2562.0	66.0	0.0	0.0
2567.0	66.0	0.0	0.0
2572.0	66.25	0.0	0.0
2577.0	65.25	0.0	0.0
2582.0	66.0	0.0	0.0
2587.0	65.75	0.0	0.0
2592.0	65.25	0.0	0.0
2598.0	65.75	0.0	0.0
2603.0	65.5	0.0	0.0
2608.0	65.75	0.0	0.0
2613.0	65.25	0.0	0.0
2618.0	65.5	0.0	0.0
2623.0	65.25	0.0	0.0
2628.0	65.0	0.0	0.0
