Data/Hora,Segundos,Sensor1,Sensor2
2024-11-11 14:10:25,2099.53,19.25,19.75
2024-11-11 14:10:35,2109.56,19.00,19.50
2024-11-11 14:10:45,2119.57,19.50,19.75
2024-11-11 14:10:55,2129.60,19.50,20.00
2024-11-11 14:11:05,2139.64,19.50,19.75
2024-11-11 14:11:15,2149.73,19.00,19.75
2024-11-11 14:11:25,2159.77,19.50,20.00
2024-11-11 14:11:35,2169.86,19.00,19.75
2024-11-11 14:11:45,2179.89,19.50,19.50
2024-11-11 14:11:56,2189.95,19.25,19.75
2024-11-11 14:12:06,2200.04,19.00,19.75
2024-11-11 14:12:16,2210.07,19.50,19.75
2024-11-11 14:12:26,2220.13,19.25,19.75
2024-11-11 14:12:36,2230.22,19.25,19.75
2024-11-11 14:12:46,2240.23,19.50,20.00
2024-11-11 14:12:56,2250.27,19.50,19.75
2024-11-11 14:13:06,2260.35,19.50,20.00
2024-11-11 14:13:16,2270.42,19.50,19.75
2024-11-11 14:13:26,2280.50,18.75,20.25
2024-11-11 14:13:36,2290.58,19.50,20.00
2024-11-11 14:13:46,2300.66,19.25,20.00
2024-11-11 14:13:56,2310.69,19.25,20.00
2024-11-11 14:14:06,2320.78,19.75,19.75
2024-11-11 14:14:16,2330.83,19.75,19.50
2024-11-11 14:14:26,2340.92,19.00,19.75
2024-11-11 14:14:37,2350.93,19.75,20.00
2024-11-11 14:14:47,2361.02,20.00,19.75
2024-11-11 14:14:57,2371.09,19.75,20.00
2024-11-11 14:15:07,2381.13,19.50,19.50
2024-11-11 14:15:17,2391.17,19.50,20.25
2024-11-11 14:15:27,2401.21,20.00,20.00
2024-11-11 14:15:37,2411.28,19.50,19.75
2024-11-11 14:15:47,2421.37,19.50,19.50
2024-11-11 14:15:57,2431.39,19.75,20.25
2024-11-11 14:16:07,2441.45,19.75,20.25
2024-11-11 14:16:17,2451.45,19.75,20.25
2024-11-11 14:16:27,2461.46,19.75,20.00
2024-11-11 14:16:37,2471.51,19.75,20.00
2024-11-11 14:16:47,2481.53,19.50,20.25
2024-11-11 14:16:57,2491.55,20.00,19.50
2024-11-11 14:17:07,2501.57,19.50,20.25
2024-11-11 14:17:17,2511.66,19.75,20.00
2024-11-11 14:17:27,2521.76,19.75,20.25
2024-11-11 14:17:37,2531.83,20.00,19.75
2024-11-11 14:17:47,2541.92,19.75,20.25
2024-11-11 14:17:58,2551.97,19.50,20.25
2024-11-11 14:18:08,2561.97,20.00,20.00
2024-11-11 14:18:18,2572.00,20.00,20.00
2024-11-11 14:18:28,2582.01,20.00,20.25
2024-11-11 14:18:38,2592.03,19.75,20.50
2024-11-11 14:18:48,2602.04,20.25,20.25
2024-11-11 14:18:58,2612.13,19.50,20.50
2024-11-11 14:19:08,2622.18,19.50,20.50
2024-11-11 14:19:18,2632.24,19.75,20.50
2024-11-11 14:19:28,2642.32,20.00,20.25
2024-11-11 14:19:38,2652.33,19.50,20.50
2024-11-11 14:19:48,2662.38,20.00,20.25
2024-11-11 14:19:58,2672.42,19.75,20.00
2024-11-11 14:20:08,2682.45,20.00,20.00
2024-11-11 14:20:18,2692.55,19.75,20.00
2024-11-11 14:20:28,2702.57,19.25,20.50
2024-11-11 14:20:38,2712.61,20.25,20.50
2024-11-11 14:20:48,2722.63,19.50,20.50
2024-11-11 14:20:58,2732.68,20.00,20.75
2024-11-11 14:21:08,2742.74,20.25,20.00
2024-11-11 14:21:18,2752.74,20.25,20.75
2024-11-11 14:21:28,2762.82,20.25,20.00
2024-11-11 14:21:38,2772.86,20.25,20.75
2024-11-11 14:21:49,2782.93,20.00,20.25
2024-11-11 14:21:59,2793.01,19.75,20.25
2024-11-11 14:22:09,2803.08,20.00,20.50
2024-11-11 14:22:19,2813.08,20.25,20.50
2024-11-11 14:22:29,2823.08,20.50,20.50
2024-11-11 14:22:39,2833.09,20.00,20.25
2024-11-11 14:22:49,2843.16,20.00,20.25
2024-11-11 14:22:59,2853.16,20.25,20.75
2024-11-11 14:23:09,2863.16,20.00,20.50
2024-11-11 14:23:19,2873.19,20.25,20.75
2024-11-11 14:23:29,2883.22,20.00,20.75
2024-11-11 14:23:39,2893.23,19.75,20.25
2024-11-11 14:23:49,2903.26,20.50,20.25
2024-11-11 14:23:59,2913.35,20.50,20.25
2024-11-11 14:24:09,2923.44,20.50,20.25
2024-11-11 14:24:19,2933.49,19.75,20.75
2024-11-11 14:24:29,2943.53,20.50,20.75
2024-11-11 14:24:39,2953.53,20.25,20.75
2024-11-11 14:24:49,2963.63,20.25,20.50
2024-11-11 14:24:59,2973.70,20.25,20.75
2024-11-11 14:25:09,2983.70,20.50,21.00
